timestamp,payload,accX,accY,accZ,ppg,ppg_max,ppg_min,ppg_diff,spO2,spO2_max,spO2_min,spO2_diff
2025-12-21T04:05:39.950804,a10119d31807131a04ed0100000000cc,,,,,,,,6611,7,26,237
2025-12-21T04:05:39.951343,a102170c11eb000105f90000000000c1,,,,5900,4587,1,1529,,,,
2025-12-21T04:05:39.951736,a103048fefb3e1880000000000000042,3608,79,1779,,,,,,,,
2025-12-21T04:05:40.850141,a10119ec1807131a04ed0100000000e5,,,,,,,,6636,7,26,237
2025-12-21T04:05:40.850743,a102174f11eb000105f9000000000004,,,,5967,4587,1,1529,,,,
2025-12-21T04:05:40.851677,a10308e8052bdd5700000000000000f8,1495,-1912,91,,,,,,,,
2025-12-21T04:05:41.809778,a1011a741807131a04ed01000000006e,,,,,,,,6772,7,26,237
2025-12-21T04:05:41.810448,a10217a611eb000105f900000000005b,,,,6054,4587,1,1529,,,,
2025-12-21T04:05:41.810986,a1030e2f000ddfc70000000000000094,1527,-1809,13,,,,,,,,
2025-12-21T04:05:43.309965,a1011aab1807131a04ed0100000000a5,,,,,,,,6827,7,26,237
2025-12-21T04:05:43.490527,a10217b911eb000105f900000000006e,,,,6073,4587,1,1529,,,,
2025-12-21T04:05:43.670079,a1030f14fda3df210000000000000067,1521,-1804,2003,,,,,,,,
2025-12-21T04:05:43.851102,a1011acf1807131a04ed0100000000c9,,,,,,,,6863,7,26,237
2025-12-21T04:05:44.089938,a10217c511eb000105f900000000007a,,,,6085,4587,1,1529,,,,
2025-12-21T04:05:44.149766,a1030d19007fdee7000000000000000e,1511,-1831,15,,,,,,,,
2025-12-21T04:05:45.109812,a1011af41807131a04ed0100000000ee,,,,,,,,6900,7,26,237
2025-12-21T04:05:45.649995,a10217d011eb000105f9000000000085,,,,6096,4587,1,1529,,,,
2025-12-21T04:05:45.830411,a1030b500264df2b000000000000006f,1531,-1872,36,,,,,,,,
2025-12-21T04:05:45.830974,a1011ada1807131a04ed0100000000d4,,,,,,,,6874,7,26,237
2025-12-21T04:05:46.011075,a10217c111eb000105f9000000000076,,,,6081,4587,1,1529,,,,
2025-12-21T04:05:46.011839,a10308ca03ebdc9400000000000000d4,1476,-1910,59,,,,,,,,
2025-12-21T04:05:47.330428,a1011ae51807131a04ed0100000000df,,,,,,,,6885,7,26,237
2025-12-21T04:05:47.990690,a10217c511eb000105f900000000007a,,,,6085,4587,1,1529,,,,
2025-12-21T04:05:47.991360,a1030d68fd27dccf00000000000000e8,1487,-1832,2007,,,,,,,,
2025-12-21T04:05:47.991773,a1011af41807131a04ed0100000000ee,,,,,,,,6900,7,26,237
2025-12-21T04:05:47.992343,a10217c711eb000105f900000000007c,,,,6087,4587,1,1529,,,,
2025-12-21T04:05:47.992888,a1030f77f9e4dd9b000000000000007f,1499,-1801,1940,,,,,,,,
2025-12-21T04:05:48.890755,a1011aeb1807131a04ed0100000000e5,,,,,,,,6891,7,26,237
2025-12-21T04:05:48.891409,a10217c711eb000105f900000000007c,,,,6087,4587,1,1529,,,,
2025-12-21T04:05:49.010050,a10309e0ffe4dd5700000000000000a4,1495,-1904,2036,,,,,,,,
2025-12-21T04:05:49.791219,a1011b021807131a04ed0100000000fd,,,,,,,,6914,7,26,237
2025-12-21T04:05:49.791784,a10217cf11eb000105f9000000000084,,,,6095,4587,1,1529,,,,
2025-12-21T04:05:49.792528,a10309cc037ade68000000000000003c,1512,-1892,58,,,,,,,,
2025-12-21T04:05:50.810954,a1011af01807131a04ed0100000000ea,,,,,,,,6896,7,26,237
2025-12-21T04:05:50.870187,a10217c411eb000105f9000000000079,,,,6084,4587,1,1529,,,,
2025-12-21T04:05:50.870717,a10308030139dd0900000000000000cf,1497,-1917,25,,,,,,,,
2025-12-21T04:05:51.831745,a1011b141807131a04ed01000000000f,,,,,,,,6932,7,26,237
2025-12-21T04:05:51.832488,a10217d411eb000105f9000000000089,,,,6100,4587,1,1529,,,,
2025-12-21T04:05:51.832888,a10308030139dd0900000000000000cf,1497,-1917,25,,,,,,,,
2025-12-21T04:05:52.791052,a1011b081807131a04ed010000000003,,,,,,,,6920,7,26,237
2025-12-21T04:05:52.791857,a10217d611eb000105f900000000008b,,,,6102,4587,1,1529,,,,
2025-12-21T04:05:52.793120,a1030abb01f2dfc70000000000000002,1527,-1877,18,,,,,,,,
2025-12-21T04:05:53.811083,a1011b071807131a04ed010000000002,,,,,,,,6919,7,26,237
2025-12-21T04:05:53.811551,a10217d311eb000105f9000000000088,,,,6099,4587,1,1529,,,,
2025-12-21T04:05:53.812203,a1030d050022dee7000000000000009d,1511,-1835,2,,,,,,,,
2025-12-21T04:05:54.950899,a1011b101807131a04ed01000000000b,,,,,,,,6928,7,26,237
2025-12-21T04:05:54.951383,a10217d511eb000105f900000000008a,,,,6101,4587,1,1529,,,,
2025-12-21T04:05:54.951728,a1030b0affe4de5e00000000000000d8,1518,-1862,2036,,,,,,,,
2025-12-21T04:05:55.913118,a1011b1e1807131a04ed010000000019,,,,,,,,6942,7,26,237
2025-12-21T04:05:55.913801,a10217da11eb000105f900000000008f,,,,6106,4587,1,1529,,,,
2025-12-21T04:05:55.971296,a10309690429df48000000000000006a,1528,-1895,73,,,,,,,,
2025-12-21T04:05:56.871026,a1011b191807131a04ed010000000014,,,,,,,,6937,7,26,237
2025-12-21T04:05:56.871691,a10217d211eb000105f9000000000087,,,,6098,4587,1,1529,,,,
2025-12-21T04:05:56.872396,a1030b6e02d5dedd00000000000000af,1517,-1858,37,,,,,,,,
2025-12-21T04:05:57.831676,a1011ae51807131a04ed0100000000df,,,,,,,,6885,7,26,237
2025-12-21T04:05:57.832294,a10217d211eb000105f9000000000087,,,,6098,4587,1,1529,,,,
2025-12-21T04:05:57.832755,a1030b64ff4adf180000000000000053,1528,-1868,2042,,,,,,,,
2025-12-21T04:05:58.851392,a1011b1c1807131a04ed010000000017,,,,,,,,6940,7,26,237
2025-12-21T04:05:58.852010,a10217d111eb000105f9000000000086,,,,6097,4587,1,1529,,,,
2025-12-21T04:05:58.852681,a1030b5a00e6e0770000000000000046,3591,-1862,6,,,,,,,,
2025-12-21T04:05:59.810969,a1011b271807131a04ed010000000022,,,,,,,,6951,7,26,237
2025-12-21T04:05:59.811662,a10217df11eb000105f9000000000094,,,,6111,4587,1,1529,,,,
2025-12-21T04:05:59.812338,a1030b9f040addcc0000000000000005,1500,-1857,74,,,,,,,,
2025-12-21T04:06:00.889631,a1011b021807131a04ed0100000000fd,,,,,,,,6914,7,26,237
2025-12-21T04:06:00.889973,a10217d611eb000105f900000000008b,,,,6102,4587,1,1529,,,,
2025-12-21T04:06:00.890255,a1030cf101e8e032000000000000009c,3586,-1855,24,,,,,,,,
2025-12-21T04:06:01.791036,a1011b041807131a04ed0100000000ff,,,,,,,,6916,7,26,237
2025-12-21T04:06:01.791751,a10217d711eb000105f900000000008c,,,,6103,4587,1,1529,,,,
2025-12-21T04:06:01.792275,a1030abb0094dd6b0000000000000045,1499,-1877,4,,,,,,,,
2025-12-21T04:06:02.810585,a1011b011807131a04ed0100000000fc,,,,,,,,6913,7,26,237
2025-12-21T04:06:02.811154,a10217d811eb000105f900000000008d,,,,6104,4587,1,1529,,,,
2025-12-21T04:06:02.811436,a1030c66fed8df0e00000000000000d9,1534,-1850,2024,,,,,,,,
2025-12-21T04:06:03.836042,a1011b131807131a04ed01000000000e,,,,,,,,6931,7,26,237
2025-12-21T04:06:03.836517,a10217e011eb000105f9000000000095,,,,6112,4587,1,1529,,,,
2025-12-21T04:06:03.837335,a1030b9f0105df5c000000000000008f,1532,-1857,21,,,,,,,,
2025-12-21T04:06:04.790405,a1011ad91807131a04ed0100000000d3,,,,,,,,6873,7,26,237
2025-12-21T04:06:04.791017,a10217c811eb000105f900000000007d,,,,6088,4587,1,1529,,,,
2025-12-21T04:06:04.791779,a10307db0642d1b0000000000000004f,3344,123,98,,,,,,,,
